German,English
geländewagen,off road vehicle
geläufigen,common
Geld in Stadtkasse spuren,pay into city budget
gelebte bündnistreue,lived loyally to the alliance
gelegen,located
gelind,mild
gelingen,success
geltende rechliegenden,applicable legal provisions 
gelungen,succeeded
gemäßigte,moderate
Gemeindegebet,congregational prayer
Gemeinden,municipalities
gemeindevorsteherin,community leader
gemeinnützigen,non-profit
gemeinnützigen stiftung,NPO
gemeinsame Richtung,common direction
Gemengelage,mixed situation
Gemengelage,mixed situation
gendergerechte,gender-appropriate
Genehmigung,Authorization
genmais,genetically modified corn
gepflastert,paved
Gepöbel,Mob
Geprüft,examined
geprugelt,beaten
geraume Zeit,a certain amount of time
Gerechtigkeit,justice
Gerichtsverfahren,court proceeding
gerissen,torn
Gerüchte,rumors
geschehe,happen
gescheiterten,failed
Geschick,skill
geschuftet,worked hard
Geschwulst,tumor
gesetzentwurf,draft law
gesetzgeber,legislator
gesetzlich,legally
Gesichtspunkten,aspects
Gesinnungsgenossen,like minded people
gespaltene,split
gesperrt,blocked (bank account)
gesperrt,blocked (bank account)
Gesprächsrunde,discussion round
gestöbert,browsed
gestreckt,stretched
Gestrüpp,bushes
gesunden Menschenverstand,common sense
Gesundheitswesen,healthcare
getauft,baptized
getreide,grain
gewährleisten,ensure
gewährleistet,ensure
Gewahrsam,custody
gewaltig,tremendous
gewaltig,enormous
gewaltsamen,violent
Gewebeneubildung,tissue regeneration
gewerbesteuer,trade tax
Gewinnspiel,Competition
gewiss,certainly
gewissenhaftsten,most conscientious
gewütet,raged
gezielt,targeted/specific
gezüchtet,bred
Gipfels,summit
Glasfaserleitungen,fiber optic cables
Gläubige,believers
gläubigern,creditor
glaubwürdig,credible
gleichermassen,equally
gleichgültigkeit,indifference
gleichlautende,identical
gleichstellung,equality
Gleichstellung,equal opportunities
gleichwertige,equivalent
gleichwohl,nevertheless
Gliederung,outline
gnadelos,merciless
gonen,treat
Gottesdienst,worship
Gräben,gap
gratwanderung,walking a tight rope
gratwanderung,walking a tight rope
gräueltaten,atrocities
grausam,awful
Gravierende,serious
greifbar,tangible
Gremium,committee
Grenzabgaben,border tax
grenzgebiete,border areas
großflächig,large-scale
großzügig,generous
grundansatz,basic approach
grundfesten,foundation
gruselig,creepy
Gutachten,appraisal
Guten Rutsch!,Happy New Year!
guten Taten,Good actions
gutschein,coupon
haftanstalt,prison
Haftbefehl,arrest warrant
häftlinge,prisoners
Haftstrafe,prison sentence
Haftung,liability
Halbleitertechnik,semiconductor technology
halbwertszeit,half life
Hals über Kopf,impulsive action
halte es für vertretbar,consider it reasonable
halte es für vertretbar,consider it reasonable
haltelinien,stop line
Haltung,attitude
handelsabkommen,trade agreement
Handelsbeziehung,Trade relation
handlungsarm,little action
handlungsfähigkeit,ability to act
hang geblieben,stuck
hart angingen,attacked hard
hart in Nehmen,tough
harte Bedingungen knüpfen,give hard conditions
Hau ab!,Get out!
Haupt Akteure,main actors
Hauptaugenmerk,Main focus
Hauptausrichtung,orientation
Hauptstadt,capital city
hauptverkehrsader,main traffic artery
Haushaltsausschuss,budget committee
haushaltsdefizit,budget deficit
Haushaltsführung,budget management
Haushaltsmittel,budget funds
Haushaltsplan,budget plan
Haut,skin
Hautnah,up close
Hebamme,midwife
hebel,lever
heikle,delicate
heiliges,saint
heiss gelaufen,overheated
Heißhungerattacke,food craving, binge,
Held,Hero
Hemmung,inhibition
Herausforderung,Challenge
herausragende,outstanding
Hergang,course of events
Herrschaft,domination
herrscht,prevails
herumgerede,gossip
hervorragend,"Outstanding
ein hervorragender Redner = An excellent speaker"
Herz-Kreislauf-Erkrankungen,cardiovascular diseases
Herzstück,centerpiece
Heutzutage,Nowadays
hide,verstecken
hierzulande,in this country
hiesigen,local
Hilfssheriff,deputy sheriff
Hindernisse,Obstacles
Hindeute,Hint/Indicate
hineinfuchsen,work on something
hineinschuppern,take a look
Hingegen,however
hinkriegen,manage
hinnehmbar,acceptable
Hinrichtungen,execution
hinter den kulissen,behind the scenes
hinterfragen,challenge/question
hintergehen,to betray
Hinterhof,backyard
Hintersicht,consideration
hinterzogenen,evaded
hinubergeklettert,climbed over
hinzufügen,add
Hinzugekommen,join
Hinzukommen,in addition
Hinzukommen,in addition
historisch belastet,historically burdened
hobbyratgebern,hobby guides
Hoch leben,long live
hochbetagt,very old
hochrangigen,high ranking
hochrechnungen,projections
Hochspannung,high voltage
hochtrabend,pompous
höhepunkt,climax
horrende,horrendous
hubschrauber,helicopter
hüpfen,to hop
hypersensitive,überempfindlich
ice cube,eiswürfel
im einklang mit,in harmony with
Im Endeffekt,in the end
im Freien,outdoors
im Gegensatz zu,in contrast to
Im Kern,at its core
imstande,capable
in den griff bekommen,get a grip
in den Griff bekommen,get under control
in den Griff kriegen,get under control
in die Quere kommen,get in the way
in lebens gerufen,brought into life
In stocken geraten,stalled
including,darunter
Indes,However
infizieren,infect
Inhaftierungen,imprisonment
Inhaltsstoffe,Ingredients
Inhaltverzeichnis,Table of Contents
Innehaben,occupy
ins Stocken geraten,stalled
insassen,inmates
Insolvenzen,Bankruptcy
interagieren,interact
intolerable,untragbare
Investitionsrückstand,investment backlog
inwieweit,to what extent
Irrglaube,misconception
Jahresabschluss,annual financial statement
jämmerlich,pathetic
jammern,complain
jemanden vor den Kopf stoßen,to offend someone
jenseits,beyond
Kapieren,understand
kapitulieren,give up
Karfreitag,Good Friday
Kasernen,barrack
kassieren,collect
Katerstimmung,hangover
Katzensprung,stone's throw
kaufmännische steuerung,commercial management
keineswegs,not at all
Keineswegs,not at all
kernforderung,core demand
kettensäge,chainsaw
Kettenzüge,chain hoist
Keuchhusten,whooping cough
Kiefer,jaw, also pine tree (context dependent),
kiffen,smoke weed
Kinderlähmung,polio
Kindersterblichkeit,Child mortality
kippen,tilt
klagen,sue/complain
klarkommen mit,cope with
Klatsche,clap
kleine Makel,small flaws
kleingerechnet,underestimated
kluft,gap
knackpunkt,core of the matter
knarzige,creaky
kniebeugen,squat
knifflige,tricky
knochen,bone
Knochenjob,backbreaking job
Knotenpunkt,a point where things meet
knusprig,crispy
Kohlenstoff,carbon
kollabieren,collapse
kommune,municipality
komparsen,extras (film/theater)
Kompliment,compliment
konditorwesen,pastry
Konjunkturprogramme,Economic stimulus programs
konkurrenten beseitigung,elimination of competitors
Können,talents
Kopfgeld,
Kopfschütteln,shake heads
kopfzerbrechen,headache
Körperschaftsteuer,Corporate tax
kostenpflichtig,subject to charge
Kostenstelle,cost center
köstliche,delicious
kostspielig,costly
kramen,rummage
Krankheitserreger,pathogen
kranz niedergelegt,lay bouquet of flowers
kratzen,scratch
krawatten,ties
kreisverband,district association
kruden Theorien,crude theories
Kugelhagel,hails of bullets
kühlteich,cooling pond
Kumpelwirtschaft,cronyism
Kunde,Customer
Kundgebungen,rallies
Kunstfälscher,art forger
Kurtaxe,tourist tax
kurzfristig,short-term
Kürzungen,Cuts
Kutsche,carriage
Laborthese,laboratory theses
ladenbesitzerin,shopkeeper
Ladentheke,shop counter
Ladesäulen,charging stations
lahmgelegt,paralyzed
"landauf, landab",across the country
Landeskundliche,regional studies
landstriche,region
langatmig,lengthy
langfristig,long-term
langwieriger Prozess,protracted process
Lastkraftwagen (LKW),truck, lorry, heavy goods vehicle
lebendig,lively
lebensader,lifeline
Lebenseinstellung,attitude to life
Lebensmittel,Groceries
Lebensumstand,living circumstance
leichtsinn,reckless
leiden,to suffer
leidenschaftlich,passionately
leisten,afford
Leistungen,service
Leitzinsen,Key interest rate
lektor,editor
lesevergnügen,reading pleasure
Lettland,Latvia
letztendlich,ultimately
leuchtenden,bright
lichtbildausweis,photo ID
Lieblingsfloskel,favourite cliché
liegt im Clinch,is at odds
lindgrün,lime green
linksgerichtet,left leaning
linksgerichtete,left leaning
listige,cunning
Loben,praise
lohnenswert,worthwhile
Losentscheid,lottery draw
loss of sales,umsatzeinbußen
Lücken,blanks
macht es gut,take care
Machthaber,dictator
Machtvakuum,Power vacuum
Maiseintopf,corn stew
makellos,spotless
malerisch,picturesque
Mangelerscheinungen,deficiency symptoms
mangelhaft,inadequate
Mappe mit Arbeitsproben,portfolio with work sample
Mariendarstellung,representation of Mary
marode,washed out
Maschinenbau,Mechanical engineering
Masern,measles
Massenhaft,en masse
maßgeblich,significantly
Maßnahme,measure
Meerenge,strait
mehr verdunstung mehr niederschlag,more evaporation more precipitation
mehrfach,multiple
mehrspurig,multi-lane
mehrstufigen,more stage
mehrwertsteuer,VAT
meinungsvielfalt,diversity of opinion
Menschenmenge,crowd
Menschenrechtsfragen,human rights issues
Menschenrechtslage,Human rights situation
Menschenwürde,human dignity
Mienen,face
Militärputsch,military coup
Milliardenwert,worth billion
millionenschwere,multi-million dollars
Mindestmaß,minimum size
ministry of the interior,innenministeriums
mischkonzerne,conglomerate
missbilligungsantrag,motion of censure
Missgeschick,mishap
Missständen,abuses
mitdenken,to think along with
mitgerissen,swept away
Mithalten,keep up / compete
Mitschrift,notes
mittel zum zweck,means to an end
mittellos,peniless
mittelmäßig,mediocre
Mittelweg,Middle way
mitverdienten,profit
Mobilfunk,mobile communication
morde,murders
Morgenmuffel,someone who is grumpy in the morning
Moscheeverband,Mosque association
mosi,mosi
Motorhaube,vehicle bonnet
mühsam,laborious
mülldeponie,landfill
mutmaßlichen,alleged
Nachahmungstäter,Copycats
nachempfinden,empathize
nachhaltig,sustainable
Nachholbedarf,need for catching up
nachlassende,declining
nachvollziehbar,understandable
nachvollziehen,comprehend
nachweis,proof
nachweisbar,verifiable
nachwuchs,offspring
naherholungsgebiet,local recreation area
nahezu,"almost, nearly"
Nahost,Near East
nährstoffen,nutrients (for plants)
Nahverkehr,local public transport
Narbe,scar
naschen,snack
nebenkriegsschauplatz,secondary war theater
neidgesellschaft,envious society
neidisch,envious
nerdigen,nerdy
netzentgelt,network fee
netzentgelte,Networkcharge
nichstun,do nothing
nichts ging mehr,nothing worked anymore
niedergelassene,established
Niederlassungserlaubnis,residence permit
Niederlassungserlaubnis,residence permit
niederließ,settled
niederließen,settled
niederschlagung,suppression
Notfallsanitäter,emergency paramedic
notgedrungen,out of necessity
Nur zum Teil,Only partly
nutzlast,payload
oberfläche,surface
Obergrenze,upper limit
obgleich,although
Öffis,public transport
